"index_ts","date","metric","value"
"nasdaq_100_ndx","2025-02-03","volume",8272460000
"nasdaq_100_ndx","2025-02-03","close",21297.580078125
"nasdaq_100_ndx","2025-02-03","close_adjusted",21297.580078125
"nasdaq_100_ndx","2025-02-03","high",21406.580078125
"nasdaq_100_ndx","2025-02-03","low",21004.349609375
"nasdaq_100_ndx","2025-02-03","open",21084.640625
"nasdaq_100_ndx","2025-01-31","open",21661.560546875
"nasdaq_100_ndx","2025-01-31","close",21478.05078125
"nasdaq_100_ndx","2025-01-31","close_adjusted",21478.05078125
"nasdaq_100_ndx","2025-01-31","high",21846.009765625
"nasdaq_100_ndx","2025-01-31","low",21425.7890625
"nasdaq_100_ndx","2025-01-31","volume",7947370000
"nasdaq_100_ndx","2025-01-30","close",21508.119140625
"nasdaq_100_ndx","2025-01-30","volume",6679500000
"nasdaq_100_ndx","2025-01-30","open",21519.810546875
"nasdaq_100_ndx","2025-01-30","low",21308.689453125
"nasdaq_100_ndx","2025-01-30","high",21623.44921875
"nasdaq_100_ndx","2025-01-30","close_adjusted",21508.119140625
"nasdaq_100_ndx","2025-01-29","volume",6497710000
"nasdaq_100_ndx","2025-01-29","close",21411.4609375
"nasdaq_100_ndx","2025-01-29","open",21473.009765625
"nasdaq_100_ndx","2025-01-29","low",21251.80078125
"nasdaq_100_ndx","2025-01-29","high",21477.880859375
"nasdaq_100_ndx","2025-01-29","close_adjusted",21411.4609375
"nasdaq_100_ndx","2025-01-28","close",21463.0390625
"nasdaq_100_ndx","2025-01-28","volume",7121740000
"nasdaq_100_ndx","2025-01-28","open",21186.080078125
"nasdaq_100_ndx","2025-01-28","low",21043.130859375
"nasdaq_100_ndx","2025-01-28","high",21500.73046875
"nasdaq_100_ndx","2025-01-28","close_adjusted",21463.0390625
"nasdaq_100_ndx","2025-01-27","high",21292.5390625
"nasdaq_100_ndx","2025-01-27","close_adjusted",21127.279296875
"nasdaq_100_ndx","2025-01-27","volume",8870200000
"nasdaq_100_ndx","2025-01-27","open",21000.169921875
"nasdaq_100_ndx","2025-01-27","low",20974.900390625
"nasdaq_100_ndx","2025-01-27","close",21127.279296875
"nasdaq_100_ndx","2025-01-24","close_adjusted",21774.009765625
"nasdaq_100_ndx","2025-01-24","close",21774.009765625
"nasdaq_100_ndx","2025-01-24","high",21945.48046875
"nasdaq_100_ndx","2025-01-24","low",21709.060546875
"nasdaq_100_ndx","2025-01-24","open",21915.48046875
"nasdaq_100_ndx","2025-01-24","volume",7708150000
"nasdaq_100_ndx","2025-01-23","volume",6837700000
"nasdaq_100_ndx","2025-01-23","open",21737.240234375
"nasdaq_100_ndx","2025-01-23","low",21722.0390625
"nasdaq_100_ndx","2025-01-23","high",21900.9296875
